code,name
AGR,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam (Agribank)
CTG,Ngan hang Cong thuong Viet Nam (Vietinbank)
BIDV,Ngan hang Dau tu va Phat trien Viet Nam (BIDV)
VCB,Ngan hang Ngoai thuong Viet Nam (Vietcombank)
TCB,Ngan hang Ky thuong Viet Nam (Techcombank)
MB,Ngan hang Quan doi (MB Bank)
STB,Ngan hang Sai Gon Thuong tin (Sacombank)
ACB,Ngan hang A Chau (ACB)
VPB,Ngan hang Viet Nam Thinh Vuong (VPBank)
TPB,Ngan hang Tien Phong (TPBank)
HDB,Ngan hang Phat trien TP HCM (HDBank)
VIB,Ngan hang Quoc te (VIB)
SHB,Ngan hang Sai Gon - Ha Noi (SHB)
SEAB,Ngan hang Dong A (SeABank)
OCB,Ngan hang Phuong Dong (OCB)
MSB,Ngan hang Hang Hai (MSB)
